rep,pop_init,crash_prop,tl,ts,ss,model,filename,minbin,breakpoints,loci,mutation_per_site,n_estimation,theta_per_site_median,theta_per_site_2.5.,theta_per_site_97.5.,year,Ne_median,Ne_2.5.,Ne_97.5.,Ne_12.5.,Ne_87.5.
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,6.550303127782437e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,6.550303127782437,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,6.55120938961216e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,6.5512093896121595,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,6.55120938961216e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,6.5512093896121595,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,6.591983452275711e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,6.591983452275711,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,6.591983452275711e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,6.591983452275711,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,6.654752201293349e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,6.654752201293348,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,6.654752201293349e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,6.654752201293348,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,6.678477121071712e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,6.678477121071712,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,6.678477121071712e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,6.678477121071712,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,6.739616382091891e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,6.73961638209189,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
